,word,count
0,data scienc,6
1,numer data,5
2,element list,4
3,use panda,4
4,big data,3
5,data visual,3
6,select column,3
7,plot seaborn,3
8,linear regress,3
9,data scientist,2
10,instal anaconda,2
11,categor data,2
12,list python,2
13,add element,2
14,plot bar,2
15,bar chart,2
16,scatter plot,2
17,directori bash,2
18,bash shell,2
19,capit letter,2
20,letter string,2
21,number list,2
22,list arrari,2
23,common python,2
24,python librari,2
25,data use,2
26,row datafram,2
27,index datafram,2
28,definit data,2
29,definit big,1
