,0
0,data
1,data scienc
2,data scienc
3,big data
4,definit big data
5,big data
6,famou data scientist
7,matplotlib
8,seaborn
9,panda
10,numpi
11,set github
12,github definit
13,github
14,regist creat github user name
15,instal anaconda
16,download python
17,anaconda instal anaconda
18,instal python jupyt notebook via anaconda
19,type variabl python
20,string python
21,type numer data
22,exampl numer data
23,inferenti statist
24,numer data
25,use numer data
26,disadvantag numer data
27,categor data data scienc
28,list python
29,add element list python add item list combin list
30,dictionari python
31,exampl loop python
32,plot bar chart/ bar graph
33,data visual python
34,matplotlib scatter plot
35,matplotlibhistogram
36,bash command line
37,git
38,determin within file structur
39,take document folder home directori bash shell
40,print file current work directori bash shell
41,version control
42,navig directori
43,capit letter string
44,capit first letter string
45,make charact string
46,append new element list
47,remov last element list
48,choos last element list
49,add element second list first list
50,dictionari method
51,get maximum number list arrari
52,get minimum number list arrari
53,loop work
54,use loop
55,use break continu statement loop
56,nest loop
57,creat function python
58,mean calcul mean
59,median
60,mode
61,use data visualizs find central tendenc
62,measur dispers
63,absolut deviat
64,standard deviat
65,varianc
66,quantil percentil quartil
67,use box plot use bpx plot
68,mani common python librari
69,numpi array
70,load data use panda python
71,panda use panda
72,select column datafram
73,select first five 5 row datafram panda
74,reset index datafram
75,reset renam column name
76,.dtype
77,select specif row datafram
78,select column b column
79,select column base row index column name
80,select certain row dataset base valu certain variabl
81,creat new datafram
82,import data use panda
83,utf-8 codec ca decod byte 0xf1 posit 2 invalid continu byte
84,convert date
85,set new index datafram
86,use panda plot bar chart
87,eda exploratori data analysi
88,common python librari
89,seaborn differ seaborn matplotlib
90,plot seaborn scatter plot
91,plot seaborn barchart
92,plot seaborn distribut plot
93,plot line chart use seaborn python
94,definit linear regress
95,assumpt linear regress
96,assumpt pf linear regress import
97,get pivot tabl panda
98,deal miss valu
99,correl definit formula
100,relationship correl covari
101,distribut definit statist
102,normal distribut
103,hua shi
104,categor data
105,log transform
106,problem data scienc solv exampl data scienc
107,busi understand domain knowledg
108,data mine
109,definit data clean
110,data explor
111,featur engin
112,predict model
113,definit data visual data visual
114,tool profession data scientist use
115,mian tool data scienc
116,instal git
117,conda anaconda
